adm1_name,adm2_name,h_water_source_2way,hh_size_bucket,h_cooking_fuel,h_toilet_type_3way,h_toilet_type_2way,hhh_sex,hhh_edu,h_cell,pop_weight,norm_weight,N_cell
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,higher,no,0.406199418863061,0.0013915243552681106,14
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,higher,yes,7.212799747993914,0.024709012502031297,247
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,preprimary/other,yes,0.5149817116897958,0.0017641817320659346,18
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,primary,no,0.2399052314869048,8.218474893554807e-4,8
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,primary,yes,4.699557517168824,0.016099355243854693,161
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,secondary,no,0.713929347836412,0.0024457200806334988,24
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,F,secondary,yes,23.742568723160737,0.08133532718332871,813
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,higher,no,0.7680897878835671,0.002631258434254487,26
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,higher,yes,12.821262216740095,0.043922019115165904,439
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,preprimary/other,no,0.3883532956239285,0.0013303885830804577,13
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,preprimary/other,yes,0.5849281452815497,0.0020037984360471925,20
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,primary,no,1.4973167509227097,0.005129383819139038,51
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,primary,yes,7.827586316781866,0.02681509745447815,268
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,secondary,no,1.1363327677558366,0.0038927547618046645,39
Bulawayo,Bulawayo,improved,1-2,clean,improved,improved,M,secondary,yes,23.66056789044909,0.08105441551636991,811
Bulawayo,Bulawayo,improved,1-2,clean,unimproved,unimproved,F,primary,yes,0.2638819605364932,9.039849836078163e-4,9
Bulawayo,Bulawayo,improved,1-2,clean,unimproved,unimproved,F,secondary,yes,0.2638819605364932,9.039849836078163e-4,9
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,F,preprimary/other,yes,0.1779742627526928,6.096895015862846e-4,6
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,F,primary,yes,0.5044141183820666,0.0017279801454033236,17
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,M,higher,yes,0.38013230867999614,0.0013022258063122329,13
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,M,preprimary/other,yes,0.20320033808486945,6.96106902947427e-4,7
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,M,primary,no,0.1977026292150036,6.772733068482388e-4,7
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,M,primary,yes,0.33797941696711714,0.0011578219181244338,12
Bulawayo,Bulawayo,improved,1-2,other,improved,improved,M,secondary,yes,0.7965881072935956,0.00272888561859232,27
Bulawayo,Bulawayo,improved,1-2,other,unimproved,unimproved,F,secondary,yes,0.1606397965301588,5.503065216653796e-4,6
Bulawayo,Bulawayo,improved,1-2,other,unimproved,unimproved,M,primary,yes,0.16566070609084085,5.675067381473312e-4,6
Bulawayo,Bulawayo,improved,3-4,clean,improved,improved,F,higher,yes,8.383833550688504,0.028720643197744086,287
Bulawayo,Bulawayo,improved,3-4,clean,improved,improved,F,preprimary/other,yes,1.598716580805544,0.005476750965298287,55
Bulawayo,Bulawayo,improved,3-4,clean,improved,improved,F,primary,no,0.39057516716920426,0.0013380000867556285,13
Bulawayo,Bulawayo,improved,3-4,clean,improved,improved,F,primary,yes,8.689697118211601,0.029768445296498608,298
Bulawayo,Bulawayo,improved,3-4,clean,improved,improved,F,secondary,no,1.6509539823942725,0.005655701532903954,57
