adm1_name,adm1_index,adm2_name,adm2_index
Manicaland,1,Buhera,1
Manicaland,1,Chimanimani,2
Manicaland,1,Chipinge,3
Manicaland,1,Makoni,4
Manicaland,1,Mutare,5
Manicaland,1,Mutasa,6
Manicaland,1,Nyanga,7
Mashonaland Central,2,Bindura,8
Mashonaland Central,2,Centenary,9
Mashonaland Central,2,Guruve,10
Mashonaland Central,2,Mazowe,11
Mashonaland Central,2,Mbire,12
Mashonaland Central,2,Mount Darwin,13
Mashonaland Central,2,Rushinga,14
Mashonaland Central,2,Shamva,15
Mashonaland East,3,Chikomba,16
Mashonaland East,3,Goromonzi,17
Mashonaland East,3,Hwedza,18
Mashonaland East,3,Marondera,19
Mashonaland East,3,Mudzi,20
Mashonaland East,3,Murehwa,21
Mashonaland East,3,Mutoko,22
Mashonaland East,3,Seke,23
Mashonaland East,3,Uzumba Maramba Pfungwe,24
Mashonaland West,4,Chegutu,25
Mashonaland West,4,Hurungwe,26
Mashonaland West,4,Kariba,27
Mashonaland West,4,Makonde,28
Mashonaland West,4,Mhondoro-Ngezi,29
Mashonaland West,4,Sanyati,30
Mashonaland West,4,Zvimba,31
Masvingo,5,Bikita,32
Masvingo,5,Chiredzi,33
Masvingo,5,Chivi,34
Masvingo,5,Gutu,35
Masvingo,5,Masvingo,36
Masvingo,5,Mwenezi,37
Masvingo,5,Zaka,38
Matabeleland North,6,Binga,39
Matabeleland North,6,Bubi,40
Matabeleland North,6,Hwange,41
Matabeleland North,6,Lupane,42
Matabeleland North,6,Nkayi,43
Matabeleland North,6,Tsholotsho,44
Matabeleland North,6,Umguza,45
Matabeleland South,7,Beitbridge,46
Matabeleland South,7,Bulilima,47
Matabeleland South,7,Gwanda,48
Matabeleland South,7,Insiza,49
Matabeleland South,7,Matobo,50
Matabeleland South,7,Umzingwane,51
Midlands,8,Chirumhanzu,52
Midlands,8,Gokwe North,53
Midlands,8,Gokwe South,54
Midlands,8,Gweru,55
Midlands,8,Kwekwe,56
Midlands,8,Mberengwa,57
Midlands,8,Shurugwi,58
Midlands,8,Zvishavane,59
Matabeleland South,7,Mangwe,60
